flip_type,rho,seed,date,n_flipped,ex_post,SI,vol,failed,raw_ex_post
pump2idle,5,0,2024-07-04,5,3380.61767578125,35.06434631347656,0.0,0,2391.9228515625
pump2idle,5,0,2024-07-09,5,3885.416259765625,-12.898603439331055,0.0,0,2261.11279296875
pump2idle,5,0,2024-07-19,5,nan,nan,nan,1,782.3956298828125
pump2idle,5,0,2024-08-03,5,2874.697265625,-17.72559356689453,0.0,0,961.1038818359375
pump2idle,5,0,2024-08-05,5,4647.61962890625,-27.42725372314453,0.0,0,2696.491943359375
pump2idle,5,0,2024-08-09,5,4407.64697265625,-0.6050148010253906,0.0,0,2871.4521484375
pump2idle,5,0,2024-08-15,5,3623.7216796875,-8.622285842895508,0.0,0,1355.810302734375
pump2idle,5,0,2024-10-05,5,nan,nan,nan,1,1728.8072509765625
pump2idle,5,0,2024-10-21,5,nan,nan,nan,1,277.35888671875
pump2idle,5,0,2024-11-21,5,nan,nan,nan,1,1649.846923828125
pump2idle,5,0,2024-12-13,5,6854.8017578125,-108.48651123046875,385.610107421875,0,3461.816650390625
pump2idle,6,0,2024-01-09,6,nan,nan,nan,1,-245.770263671875
pump2idle,6,0,2024-01-30,4,nan,nan,nan,1,1951.531005859375
pump2idle,6,0,2024-02-06,6,nan,nan,nan,1,-843.4600830078125
pump2idle,6,0,2024-02-14,4,nan,nan,nan,1,1394.183349609375
pump2idle,6,0,2024-03-23,6,nan,nan,nan,1,187.1153564453125
pump2idle,6,0,2024-04-09,6,nan,nan,nan,1,217.00860595703125
pump2idle,6,0,2024-04-24,6,nan,nan,nan,1,-109.94970703125
pump2idle,6,0,2024-06-16,6,2888.910888671875,20.453330993652344,0.0,0,1836.4228515625
pump2idle,6,0,2024-07-04,6,3198.118896484375,34.52327346801758,0.0,0,2008.2630615234375
pump2idle,6,0,2024-07-09,6,3592.038330078125,-20.694969177246094,0.0,0,715.8388671875
pump2idle,6,0,2024-07-19,6,nan,nan,nan,1,-519.2772216796875
pump2idle,6,0,2024-08-03,6,nan,nan,nan,1,-232.2757568359375
pump2idle,6,0,2024-08-05,6,4192.58984375,-25.85271644592285,0.0,0,978.6397705078125
pump2idle,6,0,2024-08-09,6,4023.182373046875,-1.1133930683135986,0.0,0,2119.8017578125
pump2idle,6,0,2024-08-15,6,3159.885986328125,-16.086618423461914,0.0,0,558.0977783203125
pump2idle,6,0,2024-10-05,6,nan,nan,nan,1,500.1798095703125
pump2idle,6,0,2024-10-21,6,nan,nan,nan,1,-1123.22314453125
pump2idle,6,0,2024-11-21,6,nan,nan,nan,1,-1039.268310546875
pump2idle,6,0,2024-12-13,6,nan,nan,nan,1,-101.797607421875
